kind	pascalName	pascalValue	language	mnemonic	context	status	javaAnalog	note
key	kbESC	$00011B			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltEsc	$080100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftEsc	$03011B			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftEsc	$0B0100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlEsc	$040100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltEsc	$0C0100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftEsc	$070100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftEsc	$0F0100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbF1	$003B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftF1	$035400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlF1	$045E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltF1	$086800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbF2	$003C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftF2	$035500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlF2	$045F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltF2	$086900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbF3	$003D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftF3	$035600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlF3	$046000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltF3	$086A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbF4	$003E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftF4	$035700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlF4	$046100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltF4	$086B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbF5	$003F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftF5	$035800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlF5	$046200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
